Number of points,Value of pi,,Mean,Std. Dev.
214,3.04746525434136,,,
392,3.04757202559966,,,
624,3.04769980103992,,,
233,3.04791517096438,,,
198,3.04820711686198,,,
395,3.04820711686198,,,
271,3.04862530963422,,,
617,3.04916043782619,,,
220,3.04975443011927,,,
223,3.05085383690735,,,
372,3.05107025556642,,,
391,3.05116265903883,,,
616,3.05144140585584,,,
375,3.05171274846053,,,
394,3.05177341507581,,,
226,3.05192468767495,,,
397,3.05237515626354,,,
625,3.05259177503838,,,
229,3.05296808073057,,,
628,3.05296808073057,,,
384,3.05358137283196,,,
634,3.05371026331978,,,
615,3.05373323563802,,,
270,3.0538413553532,,,
390,3.0547802897219,,,
235,3.05497661236263,,,
627,3.05522063957026,,,
238,3.05594368314843,,,
396,3.05594368314843,,,
633,3.05594368314843,,,
614,3.05603600494183,,,
377,3.05609420000226,,,
399,3.05651254831656,,,
380,3.05669045595601,,,
222,3.05722457160646,,,
383,3.05727757388748,,,
626,3.05748374903684,,,
629,3.05783724832344,,,
632,3.0581874668742,,,
613,3.05834979228058,,,
389,3.05842522327805,,,
635,3.05853445014967,,,
269,3.05911440703632,,,
376,3.05987240821577,,,
398,3.06008317433491,,,
631,3.06044168680335,,,
379,3.06044168680335,,,
612,3.06067467692072,,,
382,3.06100220725881,,,
637,3.06111327813247,,,
385,3.06155417015006,,,
237,3.06195033399195,,,
388,3.0620977699672,,,
630,3.06270641591631,,,
611,3.06301073889087,,,
636,3.06335863697956,,,
702,3.06338891430276,,,
221,3.06368024943489,,,
265,3.06368024943489,,,
639,3.06368024943489,,,
400,3.06419222808619,,,
378,3.06422211010865,,,
268,3.06444540434234,,,
381,3.06475560227779,,,
695,3.06485790857363,,,
610,3.06535805899098,,,
701,3.0654319248205,,,
704,3.06571533785262,,,
387,3.06579824476806,,,
660,3.06585131257986,,,
638,3.0659263493245,,,
694,3.06692567342793,,,
700,3.06748351941604,,,
609,3.06771671880173,,,
703,3.06775894128465,,,
236,3.06803206797101,,,
659,3.06803206797101,,,
706,3.06803206797101,,,
640,3.06848225609544,,,
239,3.06883796029252,,,
693,3.06900221860009,,,
264,3.0691261005639,,,
696,3.06927413034391,,,
386,3.06952696746816,,,
699,3.06954375230462,,,
267,3.06983530769593,,,
655,3.06993904463291,,,
705,3.0700762416049,,,
608,3.07008680069388,,,
658,3.07022258065699,,,
708,3.07033916511595,,,
661,3.07050359074766,,,
692,3.07108760013468,,,
645,3.07131083536125,,,
698,3.07161267815897,,,
401,3.07187190785583,,,
251,3.07187190785583,,,
654,3.07214865307276,,,
707,3.07238388650714,,,
657,3.0724229162698,,,
607,3.07246838783794,,,
710,3.07263668924368,,,
685,3.07266464899335,,,
688,3.07292436932319,,,
691,3.07318187455428,,,
641,3.073284262756,,,
669,3.07349580489964,,,
644,3.07355897709585,,,
697,3.07369035211419,,,
260,3.07396636597483,,,
650,3.07410093055541,,,
653,3.07436823717147,,,
263,3.07463314103144,,,
656,3.07463314103144,,,
709,3.07468193621229,,,
578,3.07469301470999,,,
684,3.07478488983742,,,
606,3.07486156421385,,,
422,3.07487933489849,,,
687,3.07503606776092,,,
662,3.07515586891546,,,
266,3.07528509886456,,,
425,3.07528509886456,,,
690,3.07528509886456,,,
665,3.07541375573186,,,
668,3.07566936540197,,,
643,3.07581743140721,,,
403,3.07592272795411,,,
646,3.07607995156523,,,
649,3.07634008517635,,,
406,3.07634008517635,,,
652,3.07659786463715,,,
683,3.07691428938925,,,
711,3.07697045044149,,,
602,3.07699169436893,,,
686,3.07715684877258,,,
577,3.07721429378254,,,
605,3.07726641462085,,,
689,3.07739733055947,,,
664,3.0776060687505,,,
250,3.07768847004822,,,
667,3.07785254342865,,,
642,3.07808626941655,,,
670,3.07809684652374,,,
253,3.07833900660922,,,
421,3.07833900660922,,,
648,3.0785894409573,,,
424,3.07872207517649,,,
651,3.07883760379202,,,
682,3.07905290712095,,,
601,3.07941950468103,,,
402,3.07955158762547,,,
259,3.07959547150987,,,
604,3.07968302468755,,,
576,3.07974850249136,,,
663,3.07980814708326,,,
405,3.07994398002246,,,
579,3.08002177210117,,,
666,3.08004540295434,,,
262,3.08020240794494,,,
672,3.08051365739881,,,
647,3.0808490677692,,,
681,3.08120080302069,,,
712,3.08130421163929,,,
743,3.08139898574103,,,
240,3.08173223743661,,,
420,3.08182304220523,,,
600,3.08185927464985,,,
752,3.0820108956853,,,
603,3.08211148088202,,,
423,3.0821830862878,,,
755,3.08221167239891,,,
575,3.08229574055087,,,
243,3.08236122656559,,,
426,3.08253812975811,,,
671,3.08269788814784,,,
680,3.08335803759825,,,
742,3.08337612934342,,,
249,3.08357427702862,,,
745,3.08357427702862,,,
404,3.08357427702862,,,
593,3.08382233223552,,,
407,3.08393598662123,,,
751,3.08396589174503,,,
596,3.08406792535601,,,
252,3.08415939548726,,,
754,3.08415939548726,,,
599,3.08431109286542,,,
255,3.08473090653988,,,
574,3.08485610870347,,,
447,3.08489176229973,,,
673,3.08510458684352,,,
258,3.08528927940739,,,
419,3.08533169996093,,,
580,3.08535052949234,,,
741,3.08536116573464,,,
679,3.08552467189075,,,
744,3.08555181456279,,,
713,3.0856379728371,,,
261,3.08583496198245,,,
716,3.08583496198245,,,
750,3.08592859982078,,,
753,3.08611477171151,,,
756,3.08629948628803,,,
592,3.08630970582276,,,
428,3.08632777565751,,,
595,3.08654353487843,,,
598,3.08677504879494,,,
740,3.08735414227143,,,
573,3.08742970873283,,,
678,3.08770076746837,,,
746,3.08771886611065,,,
715,3.08789906563595,,,
749,3.08789906563595,,,
446,3.08820079507367,,,
412,3.08822575830054,,,
758,3.08843121735912,,,
724,3.08845624699027,,,
242,3.08845624699027,,,
449,3.08849854128449,,,
727,3.08863894800462,,,
591,3.08880954744802,,,
418,3.08886524181419,,,
733,3.08899992091782,,,
594,3.08903149158052,,,
736,3.08917822846347,,,
597,3.08925123279358,,,
739,3.08935510669012,,,
248,3.08953057271537,,,
674,3.08969551628823,,,
427,3.08979116065166,,,
748,3.08987733527614,,,
677,3.0898863864402,,,
714,3.0899717340349,,,
572,3.09001664347737,,,
717,3.09015081507613,,,
757,3.09038730017716,,,
723,3.09050457352644,,,
254,3.09055463758782,,,
760,3.09055463758782,,,
581,3.09067928688352,,,
726,3.09067928688352,,,
729,3.09085257980681,,,
584,3.09089568312276,,,
476,3.09101129668983,,,
732,3.09102446954854,,,
257,3.09104891167366,,,
735,3.09119497308267,,,
479,3.09127320411598,,,
590,3.0913219510915,,,
738,3.0913641071105,,,
408,3.09153188806611,,,
445,3.09153188806611,,,
448,3.09180855997304,,,
411,3.09183353036176,,,
747,3.09186345519267,,,
488,3.09203982068553,,,
451,3.09208159146015,,,
676,3.09208159146015,,,
417,3.09242393343153,,,
759,3.09251104723674,,,
722,3.09256131208123,,,
571,3.09261701684395,,,
725,3.09272797070672,,,
497,3.09277897636303,,,
728,3.09289327162446,,,
731,3.09305723135829,,,
734,3.09321986616497,,,
737,3.09338119203961,,,
583,3.09344535942246,,,
429,3.09355570955835,,,
432,3.09382893042745,,,
589,3.09384701168029,,,
475,3.09414297918779,,,
675,3.09428644573294,,,
478,3.09438624854695,,,
718,3.09446666816982,,,
241,3.09462651458069,,,
721,3.09462651458069,,,
761,3.09462651458069,,,
444,3.09488526261703,,,
244,3.09509825642743,,,
487,3.09509825642743,,,
730,3.09509825642743,,,
570,3.09523093382182,,,
530,3.0952766462014,,,
450,3.09539251124272,,,
410,3.09546744569879,,,
247,3.09555863100075,,,
413,3.09573968958594,,,
496,3.09578468318645,,,
416,3.0960080442747,,,
582,3.0960080442747,,,
585,3.09619739098403,,,
